구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,평균
서울,3525,6507,10379,14772,18617,22343,26279,30322,33763,37147,40641,44138,24036.08333
부산,370,741,1157,1761,2188,2542,2971,3415,3785,4193,4551,4987,2721.75
대구,196,414,681,1083,1308,1532,1786,2014,2258,2455,2672,2899,1608.166667
인천,268,533,889,1360,1688,2000,2309,2632,2904,3211,3532,3809,2094.583333
광주,183,300,503,779,970,1159,1334,1504,1657,1839,2007,2189,1202
대전,270,513,808,1261,1565,1843,2133,2398,2690,2958,3234,3495,1930.666667
울산,158,272,490,779,987,1156,1308,1482,1660,1827,1978,2170,1188.916667
세종,44,100,159,260,315,377,451,499,557,608,655,723,395.6666667
경기,1658,3165,5172,7811,9782,11765,13656,15550,17279,19024,20848,22524,12352.83333
강원,178,353,601,905,1093,1299,1511,1717,1911,2128,2337,2545,1381.5
충북,192,397,595,922,1148,1345,1583,1802,1956,2136,2365,2550,1415.916667
충남,234,469,757,1239,1509,1774,2069,2350,2574,2826,3145,3412,1863.166667
전북,180,348,562,810,1008,1183,1397,1583,1775,1952,2158,2347,1275.25
전남,174,353,593,891,1084,1312,1519,1741,1948,2129,2321,2513,1381.5
경북,253,502,792,1278,1569,1905,2257,2555,2812,3103,3381,3649,2004.666667
경남,391,784,1179,1945,2400,2811,3247,3649,4011,4365,4730,5124,2886.333333
제주,96,218,354,535,639,758,900,1021,1140,1259,1362,1481,813.5833333
